name,pos_x,pos_y,pos_z,x,y,z,w
grasp_up,0.244,0.009,0.444,0.074,0.99,-0.012,0.117
grasp,0.379,-0.064,0.138,0.074,0.997,-0.004,0.014
grasp_mid,0.244,0.009,0.444,0.074,0.99,-0.012,0.117
grasp_mid1,0.037,-0.047,0.739,-0.013,-0.558,-0.012,0.83
grasp_put,-0.213,0.061,-0.236,0.018,1,-0.004,-0.01
