name,pos_x,pos_y,pos_z,x,y,z,w
grasp_up,0.313,0.231,0.14,-0.079,0.991,-0.032,0.105
grasp,0.379,-0.064,0.138,0.074,0.997,-0.004,0.014
grasp_mid,0.345,-0.059,0.549,0.013,0.863,-0.012,0.505
grasp_mid1,0.037,-0.047,0.739,-0.013,-0.558,-0.012,0.83
grasp_put,-0.213,0.061,-0.236,0.018,1,-0.004,-0.01
